ZAMAN,KAYNAK,ANA_0_DURUM,ANA_1_IRT,ANA_2_HIZ,ANA_3_SIC,ANA_4_NEM,ANA_5_EN,ANA_6_BOY,ANA_7_PITCH,ANA_8_ROLL,ANA_9_YAW,ANA_10_BASMS,ANA_11_BASBMP,ANA_12_BASTOP,ANA_13,ANA_14,ANA_15,ANA_16,ANA_17,ANA_18,ANA_19,ANA_20_IVMEX,ANA_21_IVMEY,ANA_22_IVMEZ,ANA_23,ANA_24,ANA_25,ANA_26,GOREV_0_DURUM,GOREV_1_EN,GOREV_2_BOY,GOREV_3_IVMEX,GOREV_4_IVMEY,GOREV_5_IVMEZ,GOREV_6_FILTREX,GOREV_7_FILTREY,GOREV_8_FILTREZ
"06:32:26.854","GOREV","","","","","","","","","","","","","","","","","","","","","","","","","","","","26.35","18.67","-94.32","14.55","11.84","-36.82","0.000000","0.000000","",""
"06:32:27.053","GOREV","","","","","","","","","","","","","","","","","","","","","","","","","","","","26.34","18.66","-94.40","14.63","11.84","-36.85","0.000000","0.000000","",""
"06:32:27.189","GOREV","","","","","","","","","","","","","","","","","","","","","","","","","","","","26.34","18.65","-94.49","14.69","11.86","-36.89","0.000000","0.000000","",""
"06:32:27.354","GOREV","","","","","","","","","","","","","","","","","","","","","","","","","","","","26.34","18.67","-94.58","14.64","12.00","-36.93","0.000000","0.000000","",""
"06:32:27.538","GOREV","","","","","","","","","","","","","","","","","","","","","","","","","","","","26.30","18.67","-94.66","14.63","12.01","-36.97","0.000000","0.000000","",""
"06:32:27.688","GOREV","","","","","","","","","","","","","","","","","","","","","","","","","","","","26.31","18.68","-94.75","14.78","12.04","-37.00","0.000000","0.000000","",""
"06:32:27.859","GOREV","","","","","","","","","","","","","","","","","","","","","","","","","","","","26.32","18.68","-94.83","14.78","11.78","-37.04","0.000000","0.000000","",""
"06:32:28.025","GOREV","","","","","","","","","","","","","","","","","","","","","","","","","","","","26.32","18.69","-94.92","14.69","11.70","-37.08","0.000000","0.000000","",""
"06:32:28.188","GOREV","","","","","","","","","","","","","","","","","","","","","","","","","","","","26.31","18.69","-95.00","14.64","11.88","-37.11","0.000000","0.000000","",""
"06:32:28.373","GOREV","","","","","","","","","","","","","","","","","","","","","","","","","","","","26.33","18.67","-95.09","14.62","11.96","-37.15","0.000000","0.000000","",""
"06:32:28.527","GOREV","","","","","","","","","","","","","","","","","","","","","","","","","","","","26.34","18.69","-95.18","14.75","11.92","-37.19","0.000000","0.000000","",""
